Identifiant de document;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain
;;;;;;;1;03/01/2022;Vente;55000;13;;RUE;2280;DE LA LIBERTE;1000;BOURG-EN-BRESSE;1;53;;AM;102;;7;24;10;;;;;;;;;1;2;Appartement;;24;1;;
;;;;;;;1;03/01/2022;Vente;143000;;;;B010;CHAMP COCHET;1480;SAVIGNEUX;1;398;;ZE;184;;;;;;;;;;;;0;;;;;;S;;84
;;;;;;;1;03/01/2022;Vente;143000;;;;B010;CHAMP COCHET;1480;SAVIGNEUX;1;398;;ZE;185;;;;;;;;;;;;0;;;;;;S;;88
;;;;;;;1;03/01/2022;Vente;143000;98;;RTE;55;DE LA DOMBES;1480;SAVIGNEUX;1;398;;ZE;187;;1;123;23;;;;;;;;;1;2;Appartement;;140;3;;
;;;;;;;1;04/01/2022;Vente;300;;;;B031;AUX PIERRES;1480;MESSIMY SUR SAONE;1;243;;A;643;;;;;;;;;;;;0;;;;;;T;;510
;;;;;;;1;06/01/2022;Vente;255000;282;;RTE;130;DE POISATON;1560;MANTENAY-MONTLIN;1;230;;ZM;124;;;;;;;;;;;;0;1;Maison;;108;5;S;;649
;;;;;;;1;06/01/2022;Vente;255000;;;;B047;LA FREGONIERE;1560;MANTENAY-MONTLIN;1;230;;ZM;126;;;;;;;;;;;;0;;;;;;S;;360
;;;;;;;1;03/01/2022;Vente;525000;;;PL;300;DE LA CROIX BLANCHE;1390;SAINT-ANDRE-DE-CORCY;1;333;;AN;23;;;;;;;;;;;;0;;;;;;S;;50
;;;;;;;1;03/01/2022;Vente;525000;217;;PL;300;DE LA CROIX BLANCHE;1390;SAINT-ANDRE-DE-CORCY;1;333;;AN;186;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;;424;0;S;;628
;;;;;;;1;03/01/2022;Vente;525000;217;;PL;300;DE LA CROIX BLANCHE;1390;SAINT-ANDRE-DE-CORCY;1;333;;AN;186;;;;;;;;;;;;0;2;Appartement;;126;4;S;;628
;;;;;;;1;05/01/2022;Vente;254200;;;;B036;MAS ROLLAND;1700;SAINT-MAURICE-DE-BEYNOST;1;376;;AC;589;;;;;;;;;;;;0;;;;;;AB;;784
;;;;;;;1;05/01/2022;Vente;64000;12;;BD;620;DE BROU;1000;BOURG-EN-BRESSE;1;53;;BC;223;;7;39;5;;;;;;;;;1;2;Appartement;;117;2;;
;;;;;;;1;05/01/2022;Vente;64000;12;;BD;620;DE BROU;1000;BOURG-EN-BRESSE;1;53;;BC;223;;7;39;5;;;;;;;;;1;3;Dépendance;;0;0;;
;;;;;;;1;03/01/2022;Vente;140000;6;;RUE;397;DE BEAUGENCY;1000;BOURG-EN-BRESSE;1;53;;BZ;175;;;;;;;;;;;;0;1;Maison;;100;4;S;;796
;;;;;;;1;03/01/2022;Vente;140000;;;RUE;397;DE BEAUGENCY;1000;BOURG-EN-BRESSE;1;53;;BZ;223;;;;;;;;;;;;0;;;;;;AG;IMM;260
;;;;;;;1;03/01/2022;Vente;140000;;;RUE;397;DE BEAUGENCY;1000;BOURG-EN-BRESSE;1;53;;BZ;224;;;;;;;;;;;;0;;;;;;AG;IMM;590
;;;;;;;1;03/01/2022;Vente;140000;;;RUE;397;DE BEAUGENCY;1000;BOURG-EN-BRESSE;1;53;;BZ;241;;;;;;;;;;;;0;;;;;;AG;IMM;262
;;;;;;;1;04/01/2022;Vente;134000;13;;RUE;1070;DE CUIRON;1000;BOURG-EN-BRESSE;1;53;;CS;321;;4;70;2;;;;;;;;;1;3;Dépendance;;0;0;;
;;;;;;;1;04/01/2022;Vente;134000;13;;RUE;1070;DE CUIRON;1000;BOURG-EN-BRESSE;1;53;;CS;321;;4;70;2;;;;;;;;;1;2;Appartement;;46;1;;
;;;;;;;1;04/01/2022;Vente;134000;13;;RUE;1070;DE CUIRON;1000;BOURG-EN-BRESSE;1;53;;CS;321;;4;70;2;;;;;;;;;1;3;Dépendance;;0;0;;
;;;;;;;1;10/01/2022;Vente;580000;;;;B092;COUTELIEU;1500;AMBRONAY;1;7;;ZN;519;;;;;;;;;;;;0;;;;;;S;;27
;;;;;;;1;10/01/2022;Vente;580000;45;;RUE;119;DES COMBES;1500;AMBRONAY;1;7;;ZN;521;;;;;;;;;;;;0;3;Dépendance;;0;0;S;;496
;;;;;;;1;10/01/2022;Vente;580000;45;;RUE;119;DES COMBES;1500;AMBRONAY;1;7;;ZN;521;;;;;;;;;;;;0;1;Maison;;204;6;S;;496
;;;;;;;1;10/01/2022;Vente;580000;45;;RUE;119;DES COMBES;1500;AMBRONAY;1;7;;ZN;521;;;;;;;;;;;;0;3;Dépendance;;0;0;S;;496
;;;;;;;1;10/01/2022;Vente;580000;45;;RUE;119;DES COMBES;1500;AMBRONAY;1;7;;ZN;521;;;;;;;;;;;;0;3;Dépendance;;0;0;S;;496
;;;;;;;1;10/01/2022;Vente;580000;;;;B092;COUTELIEU;1500;AMBRONAY;1;7;;ZN;535;;;;;;;;;;;;0;;;;;;P;;871
;;;;;;;1;04/01/2022;Vente;138000;2;;RUE;394;JEAN MACE;1500;AMBERIEU-EN-BUGEY;1;4;;AN;491;;8;64;92;;;;;;;;;1;3;Dépendance;;0;0;;
;;;;;;;1;04/01/2022;Vente;138000;2;;RUE;394;JEAN MACE;1500;AMBERIEU-EN-BUGEY;1;4;;AN;491;;16;5;6;3;;8;64;92;;;;;3;3;Dépendance;;0;0;
;;;;;;;1;04/01/2022;Vente;138000;2;;RUE;394;JEAN MACE;1500;AMBERIEU-EN-BUGEY;1;4;;AN;491;;12;9;80;;;;;;;;;1;3;Dépendance;;0;0;;
;;;;;;;1;04/01/2022;Vente;138000;2;;RUE;394;JEAN MACE;1500;AMBERIEU-EN-BUGEY;1;4;;AN;491;;16;5;6;3;;8;64;92;;;;;3;2;Appartement;;67;4;
